tax_id,name,kved,opf_code,katottg,region_code,local_code,num_workers
00236903,"АКЦІОНЕРНЕ ТОВАРИСТВО ""ГОЛОВНИЙ ІНСТИТУТ ПО ПРОЕКТУВАННЮ ЗАВОДІВ ТРАКТОРНОГО, АВТОМОБІЛЬНОГО ТА СІЛЬСЬКОГОСПОДАРСЬКОГО МАШИНОБУДУВАННЯ""",71.12,,UA63120270010948820,63,012,0
00292379,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЖЕЖЕЛІВСЬКИЙ КАР'ЄР""",08.11,,UA05120010090086645,05,012,0
00381152,"Приватне акціонерне товариство "" Ічнянський молочно-консервний комбінат """,10.51,,UA74080030010061043,74,008,0
00446368,"Приватне акціонерне товариство ""Львівський міський молочний завод""",68.20,230,UA46060250010259421,46,006,0
00912115,"Товариство з обмеженою відповідальністю ""АСКМ""",68.20,240,UA53040030010081016,53,004,0
01269129,"ТОВАРИСТВО З ДОДАТКОВОЮ ВIДПОВIДАЛЬНIСТЮ БУДІВЕЛЬНЕ УПРАВЛІННЯ ""ПРОМЖИТЛОБУД""",41.20,250,UA21100230010016545,21,010,0
01350564,"Товариство з обмеженою відповідальністю ""Будсервіс - Н""",68.32,240,UA35040210010019355,35,004,0
01755663,ВІЛЬШАНСЬКЕ РАЙОННЕ СПОЖИВЧЕ ТОВАРИСТВО,47.11,120,UA35020030010064780,35,002,0
01773201,Чемеровецьке районне споживче товариство,68.20,930,UA68020290000026103,68,002,0
01984056,"Комунальне некомерційне підприємство Херсонський обласний дитячий пульмонологічний санаторій ""Дніпро"" Херсонської обласної ради",86.10,150,UA65100150010123057,65,010,0
01998271,"Комунальне некомерційне підприємство ""Багатопрофільна лікарня Веснянської, Радсадівської сільських рад Миколаївського району Миколаївської області""",86.10,150,UA48060290010094929,48,006,0
02220763,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЦЕНТРАЛЬНИЙ ПАРК""",93.21,,UA63120270010948820,63,012,0
03118328,"Приватне підприємство ""Лубенське автомобільно-транспортне підприємство 15309""",52.29,120,UA53040030010081016,53,004,0
03343350,"Комунальне підприємство ""Бахмутський комбінат комунальних підприємств""",96.03,,UA14020010010059145,14,002,0
03351734,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КРЕМЕНЧУКГАЗ""",35.22,,UA53020110010112104,53,002,0
03591800,Професiйна спiлка працiвникiв охорони здоров'я України,94.20,830,UA80000000001078669,80,010,0
03764040,"ФЕРМЕРСЬКЕ ГОСПОДАРСТВО  ""Основа""",01.11,,UA48080110090051105,48,008,0
04606797,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СПЕЦМОНТАЖ-НТУ""",68.20,240,UA53080370010073240,53,008,0
05391583,ІЗКІВСЬКЕ СІЛЬСЬКЕ СПОЖИВЧЕ ТОВАРИСТВО,47.11,930,UA21120210040033488,21,012,0
05504811,"Товариство з обмеженою відповідальністю ""Володарка-Комбікорм""",01.11,240,UA32020030010057420,32,002,0
05506589,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЛУБЕНСЬКА МІСЬКА КЛІНІЧНА СТОМАТОЛОГІЧНА ПОЛІКЛІНІКА"" ЛУБЕНСЬКОЇ МІСЬКОЇ РАДИ Лубенського району Полтавської області",86.23,150,UA53040030010081016,53,004,0
13349767,"Приватне акціонерне товариство ""Луцькавтодор""",77.39,230,UA07080170010083384,07,008,0
13672758,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГРАНУЛА""",68.20,240,UA32100010000094393,32,010,0
13729926,"МАЛЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ПЕКАР""",47.11,120,UA32080070010087821,32,008,0
13925644,"ВИРОБНИЧО-КОМЕРЦІЙНА ФІРМА""АГРОМАРІН""",10.51,120,UA51100270010275193,51,010,0
